OUTDATED SCORES,,,,,
Accuracy Scores,,,,,
Dataset,Trial 1,Trial 2,Trial 3,Trial 4,Average
control_stories,79.73,77.03,79.73,81.08,79.3925
age_19to30_stories,82.43,81.08,83.78,82.43,82.43
age_31to50_stories,82.43,79.73,78.38,85.14,81.42
age_above50_stories,81.08,79.73,75.68,81.08,79.3925
age_under18_stories,85.14,86.49,85.14,83.78,85.1375
gender_female_stories ,86.49,81.08,79.73,81.08,82.095
gender_male_stories ,77.03,75.68,78.38,78.38,77.3675
gender_nonbinary_stories ,83.78,82.43,81.08,82.43,82.43
race_asian_stories,91.89,85.14,89.19,89.19,88.8525
race_black_stories,90.54,89.19,87.84,87.84,88.8525
race_latino_stories,87.84,85.14,89.19,86.49,87.165
race_white_stories,89.19,87.84,89.19,87.84,88.515
,,,,,
F1-Score (macro)*,,,,,
Dataset,Trial 1,Trial 2,Trial 3,Trial 4,Average
control_stories,0.7964,0.7682,0.7964,0.8103,0.792825
age_19to30_stories,0.8235,0.8103,0.8368,0.8227,0.823325
age_31to50_stories,0.8235,0.7964,0.7824,0.5696,0.742975
age_above50_stories,0.8086,0.7955,0.7539,0.5432,0.7253
age_under18_stories,0.5703,0.864,0.85,0.8359,0.78005
gender_female_stories ,0.8633,0.8103,0.7955,0.8086,0.819425
gender_male_stories ,0.7692,0.756,0.7824,0.7824,0.7725
gender_nonbinary_stories ,0.8348,0.8227,0.8096,0.8204,0.821875
race_asian_stories,0.9187,0.8507,0.5983,0.5979,0.7414
race_black_stories,0.6077,0.8912,0.8773,0.5892,0.74135
race_latino_stories,0.8773,0.85,0.8906,0.5784,0.799075
race_white_stories,0.8912,0.8773,0.8912,0.5886,0.812075
,,,,,
F1-Score (weighted),,,,,
Dataset,Trial 1,Trial 2,Trial 3,Trial 4,Average
control_stories,0.7964,0.7682,0.7964,0.8103,0.792825
age_19to30_stories,0.8235,0.8103,0.8368,0.8227,0.823325
age_31to50_stories,0.8235,0.7964,0.7824,0.8544,0.814175
age_above50_stories,0.8086,0.7955,0.7539,0.8148,0.7932
age_under18_stories,0.8554,0.864,0.85,0.8359,0.851325
gender_female_stories ,0.8633,0.8103,0.7955,0.8086,0.819425
gender_male_stories ,0.7692,0.756,0.7824,0.7824,0.7725
gender_nonbinary_stories ,0.8348,0.8227,0.8096,0.8204,0.821875
race_asian_stories,0.9187,0.8507,0.8974,0.8969,0.890925
race_black_stories,0.9116,0.8912,0.8773,0.8838,0.890975
race_latino_stories,0.8773,0.85,0.8906,0.8677,0.8714
race_white_stories,0.8912,0.8773,0.8912,0.8828,0.885625
,,,,,
UPDATED GENDER SCORES,,,,,
Accuracy Scores (Gender),,,,,
Dataset,Trial 1,Trial 2,Trial 3,Trial 4,Average
control_stories,79.73,77.03,79.73,81.08,79.393
gender_female_stories ,79.73,82.43,79.73,81.08,80.743
gender_male_stories ,83.78,85.14,83.78,85.14,84.46
gender_nonbinary_stories ,85.14,85.14,86.49,87.84,86.153
,,,,,
Macro F1-Scores (Gender),,,,,
Dataset,Trial 1,Trial 2,Trial 3,Trial 4,Average
control_stories,0.7964,0.7682,0.7964,0.8103,0.793
gender_female_stories ,0.7943,0.8217,0.7943,0.8086,0.805
gender_male_stories ,0.8368,0.8507,0.8368,0.8507,0.844
gender_nonbinary_stories ,0.85,0.85,0.8633,0.8773,0.86
,,,,,
UPDATED AGE SCORES,,,,,
Accuracy Scores (Age),,,,,
Dataset,Trial 1,Trial 2,Trial 3,Trial 4,Average
control_stories,79.73,77.03,79.73,81.08,79.393
age_19to30_stories,82.43,81.08,83.78,82.43,82.43
age_31to50_stories,82.43,79.73,78.38,85.14,81.42
age_above50_stories,81.08,79.73,75.68,81.08,79.393
age_under18_stories,85.14,86.49,85.14,83.78,85.138
,,,,,
Macro F1-Scores (Age),,,,,
Dataset,Trial 1,Trial 2,Trial 3,Trial 4,Average
control_stories,0.7964,0.7682,0.7964,0.8103,0.793
age_19to30_stories,0.8235,0.8103,0.8368,0.8227,0.823
age_31to50_stories,0.8235,0.7964,0.7824,0.5696,0.743
age_above50_stories,0.8086,0.7955,0.7539,0.5432,0.725
age_under18_stories,0.5703,0.864,0.85,0.8359,0.78
,,,,,
UPDATED RACE SCORES,,,,,
Accuracy Scores (Race),,,,,
Dataset,Trial 1,Trial 2,Trial 3,Trial 4,Average
control_stories,79.73,77.03,79.73,81.08,79.393
race_asian_stories,87.84,83.78,83.73,83.78,84.783
race_black_stories,86.49,89.19,83.78,87.84,86.825
race_latino_stories,85.14,79.73,83.78,85.14,83.448
race_white_stories,83.78,81.08,83.78,79.73,82.093
,,,,,
Macro F1-Scores (Race),,,,,
Dataset,Trial 1,Trial 2,Trial 3,Trial 4,Average
control_stories,0.7964,0.7682,0.7964,0.8103,0.793
race_asian_stories,0.8773,0.8348,0.8359,0.8348,0.846
race_black_stories,0.8633,0.8912,0.8368,0.8778,0.867
race_latino_stories,0.85,0.7955,0.8368,0.85,0.833
race_white_stories,0.56,0.8057,0.56,0.5342,0.615
