DEEPSEEK MODEL,,,,,,,MISTRAL MODEL,,,,,
,,,,,,,,,,,,
GENDER SCORES,,,,,,,GENDER SCORES,,,,,
Accuracy Scores (Gender),,,,,,,Accuracy Scores (Gender),,,,,
Dataset,Trial 1,Trial 2,Trial 3,Trial 4,Average,,Dataset,Trial 1,Trial 2,Trial 3,Trial 4,Average
control_stories,79.73,77.03,79.73,81.08,79.393,,control_stories,60.81,59.46,59.46,60.81,60.135
gender_female_stories ,79.73,82.43,79.73,81.08,80.743,,gender_female_stories ,68.92,62.16,68.92,64.86,66.215
gender_male_stories ,83.78,85.14,83.78,85.14,84.46,,gender_male_stories ,56.76,54.05,58.11,56.76,56.42
gender_nonbinary_stories ,85.14,85.14,86.49,87.84,86.153,,gender_nonbinary_stories ,70.27,70.27,71.62,71.62,70.945
,,,,,,,,,,,,
Macro F1-Scores (Gender),,,,,,,Macro F1-Scores (Gender),,,,,
Dataset,Trial 1,Trial 2,Trial 3,Trial 4,Average,,Dataset,Trial 1,Trial 2,Trial 3,Trial 4,Average
control_stories,0.7964,0.7682,0.7964,0.8103,0.793,,control_stories,0.3971,0.3892,0.3892,0.4,0.394
gender_female_stories ,0.7943,0.8217,0.7943,0.8086,0.805,,gender_female_stories ,0.6759,0.6031,0.6759,0.6266,0.645
gender_male_stories ,0.8368,0.8507,0.8368,0.8507,0.844,,gender_male_stories ,0.3626,0.3385,0.3743,0.3626,0.36
gender_nonbinary_stories ,0.85,0.85,0.8633,0.8773,0.86,,gender_nonbinary_stories ,0.684,0.684,0.7004,0.7004,0.692
,,,,,,,,,,,,
AGE SCORES,,,,,,,AGE SCORES,,,,,
Accuracy Scores (Age),,,,,,,Accuracy Scores (Age),,,,,
Dataset,Trial 1,Trial 2,Trial 3,Trial 4,Average,,Dataset,Trial 1,Trial 2,Trial 3,Trial 4,Average
control_stories,79.73,77.03,79.73,81.08,79.393,,control_stories,60.81,59.46,59.46,60.81,60.135
age_19to30_stories,82.43,81.08,83.78,82.43,82.43,,age_19to30_stories,64.86,62.16,60.81,64.86,63.173
age_31to50_stories,82.43,79.73,78.38,85.14,81.42,,age_31to50_stories,62.16,59.46,60.81,62.16,61.148
age_above50_stories,81.08,79.73,75.68,81.08,79.393,,age_above50_stories,62.16,62.16,59.46,64.86,62.16
age_under18_stories,85.14,86.49,85.14,83.78,85.138,,age_under18_stories,62.16,60.81,58.11,63.51,61.148
,,,,,,,,,,,,
Macro F1-Scores (Age),,,,,,,Macro F1-Scores (Age),,,,,
Dataset,Trial 1,Trial 2,Trial 3,Trial 4,Average,,Dataset,Trial 1,Trial 2,Trial 3,Trial 4,Average
control_stories,0.7964,0.7682,0.7964,0.8103,0.793,,control_stories,0.3971,0.3892,0.3892,0.4,0.394
age_19to30_stories,0.8235,0.8103,0.8368,0.8227,0.823,,age_19to30_stories,0.6314,0.6031,0.3934,0.6314,0.565
age_31to50_stories,0.8235,0.7964,0.7824,0.5696,0.743,,age_31to50_stories,0.6031,0.386,0.5863,0.5978,0.543
age_above50_stories,0.8086,0.7955,0.7539,0.5432,0.725,,age_above50_stories,0.6031,0.6031,0.5747,0.6266,0.602
age_under18_stories,0.5703,0.864,0.85,0.8359,0.78,,age_under18_stories,0.5978,0.5804,0.5515,0.6094,0.585
,,,,,,,,,,,,
UPDATED RACE SCORES,,,,,,,UPDATED RACE SCORES,,,,,
Accuracy Scores (Race),,,,,,,Accuracy Scores (Race),,,,,
Dataset,Trial 1,Trial 2,Trial 3,Trial 4,Average,,Dataset,Trial 1,Trial 2,Trial 3,Trial 4,Average
control_stories,79.73,77.03,79.73,81.08,79.393,,control_stories,60.81,59.46,59.46,60.81,60.135
race_asian_stories,87.84,83.78,83.73,83.78,84.783,,race_asian_stories,59.46,60.81,59.46,59.46,59.798
race_black_stories,86.49,89.19,83.78,87.84,86.825,,race_black_stories,62.16,64.86,64.86,62.16,63.51
race_latino_stories,85.14,79.73,83.78,85.14,83.448,,race_latino_stories,59.46,60.81,59.46,62.16,60.473
race_white_stories,83.78,81.08,83.78,79.73,82.093,,race_white_stories,58.11,56.76,59.46,56.76,57.773
,,,,,,,,,,,,
Macro F1-Scores (Race),,,,,,,Macro F1-Scores (Race),,,,,
Dataset,Trial 1,Trial 2,Trial 3,Trial 4,Average,,Dataset,Trial 1,Trial 2,Trial 3,Trial 4,Average
control_stories,0.7964,0.7682,0.7964,0.8103,0.793,,control_stories,0.5957,0.5838,0.5838,0.6,0.591
race_asian_stories,0.8773,0.8348,0.8359,0.8348,0.846,,race_asian_stories,0.5626,0.5738,0.5626,0.5626,0.565
race_black_stories,0.8633,0.8912,0.8368,0.8778,0.867,,race_black_stories,0.5849,0.621,0.6146,0.5849,0.601
race_latino_stories,0.85,0.7955,0.8368,0.85,0.833,,race_latino_stories,0.5553,0.5738,0.5553,0.5849,0.567
race_white_stories,0.56,0.8057,0.56,0.5342,0.615,,race_white_stories,0.5515,0.5404,0.5691,0.5335,0.549
